id,indexName,symbol,index_id,date,price,changePercentage,change,dayLow,dayHigh,yearHigh,yearLow,mktCap,exchange,volume,volumeAvg,open,prevClose
100790733803356501,S&P 500,^GSPC,100790733803356501,2024-04-09 10:15:05,5189.94,-0.2391,-12.44,5160.78,5224.81,5264.85,4048.28,,INDEX,990272587,4085816229,5217.03,5202.39
100790733803356501,S&P 500,^GSPC,100790733803356501,2024-04-09 14:18:44,5209.91,0.1445,7.52,5160.78,5224.81,5264.85,4048.28,,INDEX,2025386000,4085816229,5217.03,5202.39
100790733803356501,S&P 500,^GSPC,100790733803356501,2024-04-10 12:49:16,5164.21,-0.8774,-45.71,5138.70,5178.43,5264.85,4048.28,,INDEX,1742710000,4084209672,5167.88,5209.91
100790733803356501,S&P 500,^GSPC,100790733803356501,2024-04-11 10:54:02,5197.14,0.7073,36.50,5138.77,5197.80,5264.85,4048.28,,INDEX,1111786000,4085620163,5172.95,5160.64
100790733803356501,S&P 500,^GSPC,100790733803356501,2024-04-12 10:54:02,5123.77,-1.4481,-75.29,5110.08,5175.03,5264.85,4048.28,,INDEX,1245749000,4085997868,5171.51,5199.06
100790733803356501,S&P 500,^GSPC,100790733803356501,2024-04-12 14:21:08,5123.41,-1.4551,-75.65,5107.94,5175.03,5264.85,4048.28,,INDEX,2409339000,4084017580,5171.51,5199.06
100790733803356501,S&P 500,^GSPC,100790733803356501,2024-04-15 10:54:02,5074.66,-0.9515,-48.75,5066.92,5168.43,5264.85,4048.28,,INDEX,1143882000,4084017580,5149.67,5123.41
100790733803356501,S&P 500,^GSPC,100790733803356501,2024-04-16 10:54:02,5047.13,-0.2902,-14.69,5039.83,5069.06,5264.85,4048.28,,INDEX,1247143000,4079012096,5064.59,5061.82
100790733803356501,S&P 500,^GSPC,100790733803356501,2024-04-16 14:04:06,5051.41,-0.2057,-10.41,5039.83,5079.84,5264.85,4048.28,,INDEX,2334071000,4079012096,5064.59,5061.82
100790733803356501,S&P 500,^GSPC,100790733803356501,2024-04-17 14:23:57,5022.21,-0.5781,-29.20,5007.25,5077.96,5264.85,4048.28,,INDEX,2289242000,4080263709,5068.97,5051.41
100790733803356501,S&P 500,^GSPC,100790733803356501,2024-04-18 14:10:20,5011.12,-0.2208,-11.09,5001.89,5056.66,5264.85,4048.28,,INDEX,2206949000,4073443225,5031.52,5022.21
100790733803356501,S&P 500,^GSPC,100790733803356501,2024-04-19 14:23:18,4967.23,-0.8759,-43.89,4953.56,5019.02,5264.85,4048.28,,INDEX,2733302000,4062678064,5005.44,5011.12
100790733803356501,S&P 500,^GSPC,100790733803356501,2024-04-22 14:22:01,5010.60,0.8731,43.37,4969.40,5038.84,5264.85,4048.28,,INDEX,2348891000,4055922258,4987.33,4967.23
100790733803356501,S&P 500,^GSPC,100790733803356501,2024-04-23 13:54:19,5070.55,1.1965,59.95,5027.96,5076.12,5264.85,4048.28,,INDEX,2311653000,4054429516,5028.85,5010.60
100790733803356501,S&P 500,^GSPC,100790733803356501,2024-04-24 14:07:32,5071.63,0.0213,1.08,5047.02,5089.48,5264.85,4048.28,,INDEX,2523336000,4045096774,5084.86,5070.55
100790733803356501,S&P 500,^GSPC,100790733803356501,2024-04-25 14:07:49,5048.42,-0.4576,-23.21,4990.58,5057.75,5264.85,4048.28,,INDEX,2691433000,4039230806,5019.88,5071.63
100790733803356501,S&P 500,^GSPC,100790733803356501,2024-04-26 14:18:18,5099.96,1.0209,51.54,5073.14,5114.62,5264.85,4048.28,,INDEX,2401044000,4048983225,5084.65,5048.42
100790733803356501,S&P 500,^GSPC,100790733803356501,2024-04-29 14:06:34,5116.17,0.3178,16.21,5088.65,5123.49,5264.85,4048.28,,INDEX,2337162000,4050257096,5114.13,5099.96
100790733803356501,S&P 500,^GSPC,100790733803356501,2024-04-30 14:29:19,5035.69,-1.5731,-80.48,5035.31,5110.83,5264.85,4048.28,,INDEX,2776658000,4043988064,5103.78,5116.17
100790733803356501,S&P 500,^GSPC,100790733803356501,2024-05-01 14:12:38,5018.39,-0.3435,-17.30,5013.45,5096.12,5264.85,4048.28,,INDEX,2863485000,4028320000,5029.03,5035.69
100790733803356501,S&P 500,^GSPC,100790733803356501,2024-05-02 14:40:58,5064.20,0.9128,45.81,5011.05,5073.21,5264.85,4048.28,,INDEX,2622597000,4037661311,5049.32,5018.39
100790733803356501,S&P 500,^GSPC,100790733803356501,2024-05-03 14:26:08,5127.79,1.2557,63.59,5101.22,5139.12,5264.85,4084.73,,INDEX,2441285000,4043209677,5122.78,5064.20
100790733803356501,S&P 500,^GSPC,100790733803356501,2024-05-06 14:07:54,5180.74,1.0326,52.95,5142.42,5181.00,5264.85,4098.92,,INDEX,2174332000,4036908000,5142.42,5127.79
100790733803356501,S&P 500,^GSPC,100790733803356501,2024-06-07 12:45:27,5350.11,-0.0531,-2.84,5331.33,5375.08,5375.08,4103.78,,INDEX,1270383000,3924296507,5343.81,5352.96
